TITLE = "PIV"
VARIABLES = "x", "y", "u", "v"
ZONE T="0", I=75, J=42
2.880000000000000000e+02 1.056000000000000000e+03 -2.763185501098632812e+00 9.629701614379882812e+00
3.040000000000000000e+02 1.056000000000000000e+03 -2.204395294189453125e+00 1.010767745971679688e+01
3.200000000000000000e+02 1.056000000000000000e+03 -1.679800033569335938e+00 1.074064254760742188e+01
3.360000000000000000e+02 1.056000000000000000e+03 -1.256481170654296875e+00 1.154059982299804688e+01
3.520000000000000000e+02 1.056000000000000000e+03 -8.940963745117187500e-01 1.228204345703125000e+01
3.680000000000000000e+02 1.056000000000000000e+03 -6.757183074951171875e-01 1.303470420837402344e+01
3.840000000000000000e+02 1.056000000000000000e+03 -4.984340667724609375e-01 1.365261268615722656e+01
4.000000000000000000e+02 1.056000000000000000e+03 -3.131465911865234375e-01 1.413292312622070312e+01
4.160000000000000000e+02 1.056000000000000000e+03 -1.734409332275390625e-01 1.452213859558105469e+01
4.320000000000000000e+02 1.056000000000000000e+03 -3.454399108886718750e-02 1.478409767150878906e+01
4.480000000000000000e+02 1.056000000000000000e+03 8.405303955078125000e-02 1.493599891662597656e+01
4.640000000000000000e+02 1.056000000000000000e+03 1.655654907226562500e-01 1.506742191314697266e+01
4.800000000000000000e+02 1.056000000000000000e+03 2.018756866455078125e-01 1.521240043640136719e+01
4.960000000000000000e+02 1.056000000000000000e+03 2.173805236816406250e-01 1.534126663208007812e+01
5.120000000000000000e+02 1.056000000000000000e+03 2.388210296630859375e-01 1.539743900299072266e+01
5.280000000000000000e+02 1.056000000000000000e+03 2.227745056152343750e-01 1.543721771240234375e+01
5.440000000000000000e+02 1.056000000000000000e+03 2.559623718261718750e-01 1.547341823577880859e+01
5.600000000000000000e+02 1.056000000000000000e+03 3.168678283691406250e-01 1.554162025451660156e+01
5.760000000000000000e+02 1.056000000000000000e+03 3.040828704833984375e-01 1.560495376586914062e+01
5.920000000000000000e+02 1.056000000000000000e+03 2.792091369628906250e-01 1.561546802520751953e+01
6.080000000000000000e+02 1.056000000000000000e+03 2.719421386718750000e-01 1.560968017578125000e+01
6.240000000000000000e+02 1.056000000000000000e+03 2.598266601562500000e-01 1.559992980957031250e+01
6.400000000000000000e+02 1.056000000000000000e+03 2.454185485839843750e-01 1.561041450500488281e+01
6.560000000000000000e+02 1.056000000000000000e+03 2.552986145019531250e-01 1.563882446289062500e+01
6.720000000000000000e+02 1.056000000000000000e+03 2.485103607177734375e-01 1.565412521362304688e+01
1.600000000000000000e+01 1.072000000000000000e+03 1.622423171997070312e+00 1.538245010375976562e+01
3.200000000000000000e+01 1.072000000000000000e+03 1.174392700195312500e+00 1.579877567291259766e+01
4.800000000000000000e+01 1.072000000000000000e+03 2.237052917480468750e-01 1.653810310363769531e+01
6.400000000000000000e+01 1.072000000000000000e+03 -5.797729492187500000e-01 1.713988304138183594e+01
8.000000000000000000e+01 1.072000000000000000e+03 -1.197822570800781250e+00 1.716915893554687500e+01
9.600000000000000000e+01 1.072000000000000000e+03 -1.715412139892578125e+00 1.688621520996093750e+01
1.120000000000000000e+02 1.072000000000000000e+03 -2.175207138061523438e+00 1.646828651428222656e+01
1.280000000000000000e+02 1.072000000000000000e+03 -2.738975524902343750e+00 1.550329780578613281e+01
1.440000000000000000e+02 1.072000000000000000e+03 -3.848949432373046875e+00 1.407186508178710938e+01
1.600000000000000000e+02 1.072000000000000000e+03 -5.494411468505859375e+00 1.262379837036132812e+01
1.760000000000000000e+02 1.072000000000000000e+03 -6.259475708007812500e+00 1.106505775451660156e+01
1.920000000000000000e+02 1.072000000000000000e+03 -6.103645324707031250e+00 1.014907073974609375e+01
2.080000000000000000e+02 1.072000000000000000e+03 -5.526016235351562500e+00 9.843301773071289062e+00
2.240000000000000000e+02 1.072000000000000000e+03 -4.676200866699218750e+00 9.674892425537109375e+00
2.400000000000000000e+02 1.072000000000000000e+03 -3.759851455688476562e+00 9.242885589599609375e+00
2.560000000000000000e+02 1.072000000000000000e+03 -2.899183273315429688e+00 9.051416397094726562e+00
2.720000000000000000e+02 1.072000000000000000e+03 -2.111833572387695312e+00 9.101005554199218750e+00
2.880000000000000000e+02 1.072000000000000000e+03 -1.566915512084960938e+00 9.379823684692382812e+00
3.040000000000000000e+02 1.072000000000000000e+03 -1.108631134033203125e+00 9.776851654052734375e+00
3.200000000000000000e+02 1.072000000000000000e+03 -6.662483215332031250e-01 1.041305351257324219e+01
3.360000000000000000e+02 1.072000000000000000e+03 -3.929347991943359375e-01 1.112131690979003906e+01
3.520000000000000000e+02 1.072000000000000000e+03 -1.852970123291015625e-01 1.183105087280273438e+01
3.680000000000000000e+02 1.072000000000000000e+03 -1.846694946289062500e-02 1.259650421142578125e+01
3.840000000000000000e+02 1.072000000000000000e+03 1.054420471191406250e-01 1.325836372375488281e+01
4.000000000000000000e+02 1.072000000000000000e+03 1.659240722656250000e-01 1.379630661010742188e+01
4.160000000000000000e+02 1.072000000000000000e+03 1.684703826904296875e-01 1.429154014587402344e+01
4.320000000000000000e+02 1.072000000000000000e+03 1.988162994384765625e-01 1.463496208190917969e+01
4.480000000000000000e+02 1.072000000000000000e+03 2.548637390136718750e-01 1.482014083862304688e+01
4.640000000000000000e+02 1.072000000000000000e+03 3.091506958007812500e-01 1.498537445068359375e+01
4.800000000000000000e+02 1.072000000000000000e+03 3.279647827148437500e-01 1.513363838195800781e+01
